display_name,script_name,npc_id,primary_text_id,primary_text_key,primary_event_id,alt_text_ids,alt_text_keys,alt_event_ids,trade_text_ids,trade_text_keys,event_finish_text_ids,event_finish_text_keys,notes
Anxaberoute,Anxaberoute,17719396,,,886,,,,,,,,default event
Apairemant,Apairemant,17719306,8256,APAIREMANT_OPEN_DIALOG,,8262,APAIREMANT_CLOSED_DIALOG,,,,,,regional shop
Aramaviont,Aramaviont,17719512,,,,,,,,,,,no default text/event
"Aravoge, T.K.",Aravoge_TK,17719397,,,,,,,,,,,no default text/event
Arpetion,Arpetion,17719409,,,660,,,,,,,,default event
"Arpevion, T.K.",Arpevion_TK,17719398,,,,,,,,,,,no default text/event
Artisan Moogle,Artisan_Moogle,17719633,,,,,,,,,,,no default text/event
Arvilauge,Arvilauge,17719599,,,,,,,,,,,no default text/event
Ashene,Ashene,17719354,8011,ASH_THADI_ENE_SHOP_DIALOG,,,,,,,,,script onTrigger
Atelloune,Atelloune,17719610,,,884,,,,,,,,default event
Atmacite Refiner,Atmacite_Refiner,17719634,,,,,,,,,,,no default text/event
Aubejart,Aubejart,17719298,,,582,,,,,,,,default event
Auction Counter,Auction_Counter,17719411,,,,,,,,,,,no default text/event
Auction Counter,Auction_Counter,17719412,,,,,,,,,,,no default text/event
Auction Counter,Auction_Counter,17719413,,,,,,,,,,,no default text/event
Auction Counter,Auction_Counter,17719414,,,,,,,,,,,no default text/event
Authere,Authere,17719357,,,809,,,597; 605,,,,,script onTrigger event
Avandale,Avandale,17719371,,,,,,,,,,,no default text/event
Aveline,Aveline,17719318,8257,RAIMBROYS_SHOP_DIALOG,,,,,,,,,script onTrigger
B,B,17719682,,,,,,,,,,,no default text/event
Babban Ny Mheillea,Babban_Ny_Mheillea,17719850,,,,,,,,,,,no default text/event
Balamor,Balamor,17720013,,,,,,,,,,,no default text/event
Balasiel,Balasiel,17719359,,,63,,,,,,,,script onTrigger event
Balasiel,Balasiel,17719360,,,63,,,,,,,,script onTrigger event
Bashraf,Bashraf,17719595,,,,,,,,,,,no default text/event
Baunise,Baunise,17719301,8015,NOTHING_TO_REPORT,,,,,,,,,default
Benaige,Benaige,17719317,8258,RAIMBROYS_SHOP_DIALOG+1,,,,,,,,,script onTrigger
blank,blank,17719400,,,,,,,,,,,no default text/event
blank,blank,17719401,,,,,,,,,,,no default text/event
blank,blank,17719402,,,,,,,,,,,no default text/event
blank,blank,17719403,,,,,,,,,,,no default text/event
blank,blank,17719404,,,,,,,,,,,no default text/event
blank,blank,17719405,,,,,,,,,,,no default text/event
blank,blank,17719406,,,,,,,,,,,no default text/event
blank,blank,17719407,,,,,,,,,,,no default text/event
blank,blank,17719438,,,,,,,,,,,no default text/event
blank,blank,17719440,,,,,,,,,,,no default text/event
blank,blank,17719542,,,,,,,,,,,no default text/event
blank,blank,17719555,,,,,,,,,,,no default text/event
blank,blank,17719565,,,,,,,,,,,no default text/event
blank,blank,17719566,,,,,,,,,,,no default text/event
blank,blank,17719567,,,,,,,,,,,no default text/event
blank,blank,17719568,,,,,,,,,,,no default text/event
blank,blank,17719584,,,,,,,,,,,no default text/event
blank,blank,17719600,,,,,,,,,,,no default text/event
blank,blank,17719602,,,,,,,,,,,no default text/event
blank,blank,17719604,,,,,,,,,,,no default text/event
blank,blank,17719619,,,,,,,,,,,no default text/event
blank,blank,17719623,,,,,,,,,,,no default text/event
blank,blank,17719624,,,,,,,,,,,no default text/event
blank,blank,17719648,,,,,,,,,,,no default text/event
blank,blank,17719649,,,,,,,,,,,no default text/event
blank,blank,17719650,,,,,,,,,,,no default text/event
blank,blank,17719651,,,,,,,,,,,no default text/event
blank,blank,17719652,,,,,,,,,,,no default text/event
blank,blank,17719653,,,,,,,,,,,no default text/event
blank,blank,17719664,,,,,,,,,,,no default text/event
blank,blank,17719665,,,,,,,,,,,no default text/event
blank,blank,17719685,,,,,,,,,,,no default text/event
blank,blank,17719686,,,,,,,,,,,no default text/event
blank,blank,17719688,,,,,,,,,,,no default text/event
blank,blank,17719689,,,,,,,,,,,no default text/event
blank,blank,17719690,,,,,,,,,,,no default text/event
blank,blank,17719698,,,,,,,,,,,no default text/event
blank,blank,17719699,,,,,,,,,,,no default text/event
blank,blank,17719700,,,,,,,,,,,no default text/event
blank,blank,17719701,,,,,,,,,,,no default text/event
blank,blank,17719702,,,,,,,,,,,no default text/event
blank,blank,17719705,,,,,,,,,,,no default text/event
blank,blank,17719706,,,,,,,,,,,no default text/event
blank,blank,17719707,,,,,,,,,,,no default text/event
blank,blank,17719708,,,,,,,,,,,no default text/event
blank,blank,17719709,,,,,,,,,,,no default text/event
blank,blank,17719710,,,,,,,,,,,no default text/event
blank,blank,17719711,,,,,,,,,,,no default text/event
blank,blank,17719720,,,,,,,,,,,no default text/event
blank,blank,17719723,,,,,,,,,,,no default text/event
blank,blank,17719725,,,,,,,,,,,no default text/event
blank,blank,17719726,,,,,,,,,,,no default text/event
blank,blank,17719727,,,,,,,,,,,no default text/event
blank,blank,17719728,,,,,,,,,,,no default text/event
blank,blank,17719747,,,,,,,,,,,no default text/event
blank,blank,17719748,,,,,,,,,,,no default text/event
blank,blank,17719749,,,,,,,,,,,no default text/event
blank,blank,17719750,,,,,,,,,,,no default text/event
blank,blank,17719751,,,,,,,,,,,no default text/event
blank,blank,17719752,,,,,,,,,,,no default text/event
blank,blank,17719753,,,,,,,,,,,no default text/event
blank,blank,17719754,,,,,,,,,,,no default text/event
blank,blank,17719755,,,,,,,,,,,no default text/event
blank,blank,17719756,,,,,,,,,,,no default text/event
blank,blank,17719757,,,,,,,,,,,no default text/event
blank,blank,17719758,,,,,,,,,,,no default text/event
blank,blank,17719759,,,,,,,,,,,no default text/event
blank,blank,17719760,,,,,,,,,,,no default text/event
blank,blank,17719761,,,,,,,,,,,no default text/event
blank,blank,17719762,,,,,,,,,,,no default text/event
blank,blank,17719763,,,,,,,,,,,no default text/event
blank,blank,17719764,,,,,,,,,,,no default text/event
blank,blank,17719765,,,,,,,,,,,no default text/event
blank,blank,17719766,,,,,,,,,,,no default text/event
blank,blank,17719767,,,,,,,,,,,no default text/event
blank,blank,17719768,,,,,,,,,,,no default text/event
blank,blank,17719769,,,,,,,,,,,no default text/event
blank,blank,17719770,,,,,,,,,,,no default text/event
blank,blank,17719771,,,,,,,,,,,no default text/event
blank,blank,17719772,,,,,,,,,,,no default text/event
blank,blank,17719773,,,,,,,,,,,no default text/event
blank,blank,17719774,,,,,,,,,,,no default text/event
blank,blank,17719775,,,,,,,,,,,no default text/event
blank,blank,17719776,,,,,,,,,,,no default text/event
blank,blank,17719777,,,,,,,,,,,no default text/event
blank,blank,17719778,,,,,,,,,,,no default text/event
blank,blank,17719780,,,,,,,,,,,no default text/event
blank,blank,17719781,,,,,,,,,,,no default text/event
blank,blank,17719782,,,,,,,,,,,no default text/event
blank,blank,17719783,,,,,,,,,,,no default text/event
blank,blank,17719784,,,,,,,,,,,no default text/event
blank,blank,17719785,,,,,,,,,,,no default text/event
blank,blank,17719786,,,,,,,,,,,no default text/event
blank,blank,17719787,,,,,,,,,,,no default text/event
blank,blank,17719788,,,,,,,,,,,no default text/event
blank,blank,17719789,,,,,,,,,,,no default text/event
blank,blank,17719790,,,,,,,,,,,no default text/event
blank,blank,17719791,,,,,,,,,,,no default text/event
blank,blank,17719792,,,,,,,,,,,no default text/event
blank,blank,17719793,,,,,,,,,,,no default text/event
blank,blank,17719794,,,,,,,,,,,no default text/event
blank,blank,17719795,,,,,,,,,,,no default text/event
blank,blank,17719796,,,,,,,,,,,no default text/event
blank,blank,17719797,,,,,,,,,,,no default text/event
blank,blank,17719798,,,,,,,,,,,no default text/event
blank,blank,17719799,,,,,,,,,,,no default text/event
blank,blank,17719800,,,,,,,,,,,no default text/event
blank,blank,17719801,,,,,,,,,,,no default text/event
blank,blank,17719802,,,,,,,,,,,no default text/event
blank,blank,17719803,,,,,,,,,,,no default text/event
blank,blank,17719804,,,,,,,,,,,no default text/event
blank,blank,17719805,,,,,,,,,,,no default text/event
blank,blank,17719806,,,,,,,,,,,no default text/event
blank,blank,17719807,,,,,,,,,,,no default text/event
blank,blank,17719808,,,,,,,,,,,no default text/event
blank,blank,17719809,,,,,,,,,,,no default text/event
blank,blank,17719810,,,,,,,,,,,no default text/event
blank,blank,17719811,,,,,,,,,,,no default text/event
blank,blank,17719812,,,,,,,,,,,no default text/event
blank,blank,17719813,,,,,,,,,,,no default text/event
blank,blank,17719814,,,,,,,,,,,no default text/event
blank,blank,17719815,,,,,,,,,,,no default text/event
blank,blank,17719816,,,,,,,,,,,no default text/event
blank,blank,17719818,,,,,,,,,,,no default text/event
blank,blank,17719819,,,,,,,,,,,no default text/event
blank,blank,17719820,,,,,,,,,,,no default text/event
blank,blank,17719839,,,,,,,,,,,no default text/event
blank,blank,17719840,,,,,,,,,,,no default text/event
blank,blank,17719841,,,,,,,,,,,no default text/event
blank,blank,17719842,,,,,,,,,,,no default text/event
blank,blank,17719843,,,,,,,,,,,no default text/event
blank,blank,17719845,,,,,,,,,,,no default text/event
blank,blank,17719849,,,,,,,,,,,no default text/event
blank,blank,17719851,,,,,,,,,,,no default text/event
blank,blank,17719853,,,,,,,,,,,no default text/event
blank,blank,17719896,,,,,,,,,,,no default text/event
blank,blank,17719897,,,,,,,,,,,no default text/event
blank,blank,17719898,,,,,,,,,,,no default text/event
blank,blank,17719899,,,,,,,,,,,no default text/event
blank,blank,17719900,,,,,,,,,,,no default text/event
blank,blank,17719901,,,,,,,,,,,no default text/event
blank,blank,17719902,,,,,,,,,,,no default text/event
blank,blank,17719903,,,,,,,,,,,no default text/event
blank,blank,17719904,,,,,,,,,,,no default text/event
blank,blank,17719905,,,,,,,,,,,no default text/event
blank,blank,17719906,,,,,,,,,,,no default text/event
blank,blank,17719907,,,,,,,,,,,no default text/event
blank,blank,17719908,,,,,,,,,,,no default text/event
blank,blank,17719909,,,,,,,,,,,no default text/event
blank,blank,17719910,,,,,,,,,,,no default text/event
blank,blank,17719911,,,,,,,,,,,no default text/event
blank,blank,17719912,,,,,,,,,,,no default text/event
blank,blank,17719913,,,,,,,,,,,no default text/event
blank,blank,17719914,,,,,,,,,,,no default text/event
blank,blank,17719915,,,,,,,,,,,no default text/event
blank,blank,17719916,,,,,,,,,,,no default text/event
blank,blank,17719917,,,,,,,,,,,no default text/event
blank,blank,17719918,,,,,,,,,,,no default text/event
blank,blank,17719919,,,,,,,,,,,no default text/event
blank,blank,17719920,,,,,,,,,,,no default text/event
blank,blank,17719921,,,,,,,,,,,no default text/event
blank,blank,17719922,,,,,,,,,,,no default text/event
blank,blank,17719923,,,,,,,,,,,no default text/event
blank,blank,17719924,,,,,,,,,,,no default text/event
blank,blank,17719925,,,,,,,,,,,no default text/event
blank,blank,17719926,,,,,,,,,,,no default text/event
blank,blank,17719940,,,,,,,,,,,no default text/event
blank,blank,17719941,,,,,,,,,,,no default text/event
blank,blank,17719942,,,,,,,,,,,no default text/event
blank,blank,17719943,,,,,,,,,,,no default text/event
blank,blank,17719944,,,,,,,,,,,no default text/event
blank,blank,17719945,,,,,,,,,,,no default text/event
blank,blank,17719946,,,,,,,,,,,no default text/event
blank,blank,17719947,,,,,,,,,,,no default text/event
blank,blank,17719948,,,,,,,,,,,no default text/event
blank,blank,17719949,,,,,,,,,,,no default text/event
blank,blank,17719950,,,,,,,,,,,no default text/event
blank,blank,17719951,,,,,,,,,,,no default text/event
blank,blank,17719952,,,,,,,,,,,no default text/event
blank,blank,17719953,,,,,,,,,,,no default text/event
blank,blank,17719954,,,,,,,,,,,no default text/event
blank,blank,17719955,,,,,,,,,,,no default text/event
blank,blank,17719956,,,,,,,,,,,no default text/event
blank,blank,17719958,,,,,,,,,,,no default text/event
blank,blank,17719960,,,,,,,,,,,no default text/event
blank,blank,17719961,,,,,,,,,,,no default text/event
blank,blank,17719962,,,,,,,,,,,no default text/event
blank,blank,17719963,,,,,,,,,,,no default text/event
blank,blank,17719964,,,,,,,,,,,no default text/event
blank,blank,17719965,,,,,,,,,,,no default text/event
blank,blank,17719970,,,,,,,,,,,no default text/event
blank,blank,17719971,,,,,,,,,,,no default text/event
blank,blank,17719973,,,,,,,,,,,no default text/event
blank,blank,17719974,,,,,,,,,,,no default text/event
blank,blank,17719975,,,,,,,,,,,no default text/event
blank,blank,17719976,,,,,,,,,,,no default text/event
blank,blank,17719977,,,,,,,,,,,no default text/event
blank,blank,17719978,,,,,,,,,,,no default text/event
blank,blank,17719979,,,,,,,,,,,no default text/event
blank,blank,17719980,,,,,,,,,,,no default text/event
blank,blank,17719981,,,,,,,,,,,no default text/event
blank,blank,17719982,,,,,,,,,,,no default text/event
blank,blank,17719983,,,,,,,,,,,no default text/event
blank,blank,17719984,,,,,,,,,,,no default text/event
blank,blank,17719985,,,,,,,,,,,no default text/event
blank,blank,17719986,,,,,,,,,,,no default text/event
blank,blank,17719987,,,,,,,,,,,no default text/event
blank,blank,17719988,,,,,,,,,,,no default text/event
blank,blank,17719989,,,,,,,,,,,no default text/event
blank,blank,17719990,,,,,,,,,,,no default text/event
blank,blank,17719991,,,,,,,,,,,no default text/event
blank,blank,17719992,,,,,,,,,,,no default text/event
blank,blank,17719993,,,,,,,,,,,no default text/event
blank,blank,17719994,,,,,,,,,,,no default text/event
blank,blank,17719995,,,,,,,,,,,no default text/event
blank,blank,17719996,,,,,,,,,,,no default text/event
blank,blank,17719997,,,,,,,,,,,no default text/event
blank,blank,17719998,,,,,,,,,,,no default text/event
blank,blank,17719999,,,,,,,,,,,no default text/event
blank,blank,17720005,,,,,,,,,,,no default text/event
blank,blank,17720009,,,,,,,,,,,no default text/event
blank,blank,17720015,,,,,,,,,,,no default text/event
blank,blank,17720016,,,,,,,,,,,no default text/event
blank,blank,17720025,,,,,,,,,,,no default text/event
blank,blank,17720026,,,,,,,,,,,no default text/event
Blendare,Blendare,17719358,,,606,,,,,,,,script onTrigger event
Brutus,Brutus,17719588,,,,,,,,,,,no default text/event
C,C,17719681,,,,,,,,,,,no default text/event
C,C,17719687,,,,,,,,,,,no default text/event
Cahaurme,Cahaurme,17719300,8015,NOTHING_TO_REPORT,,,,,,,,,default
Camereine,Camereine,17719343,,,,,,,,,,,no default text/event
Capucine,Capucine,17719352,10251,CAPUCINE_SHOP_DIALOG,,,,,,,,,script onTrigger
Carautia,Carautia,17719388,8258,CARAUTIA_SHOP_DIALOG,,,,,,,,,script onTrigger
Celyddon,Celyddon,17719372,,,618,,,619; 620,,,,,script onTrigger event
Ceraule,Ceraule,17719297,,,509,,,,,,,,default event
Chacharoon,Chacharoon,17719722,,,,,,,,,,,no default text/event
Chanpau,Chanpau,17719362,,,567,,,505,,,,,script onTrigger event
Cheh Raihah,Cheh_Raihah,17719427,8177,CHEH_WINDY_CIT,,8176,CHEH_NOT_WINDY_CIT,,,,,,script onTrigger
Chepelle,Chepelle,17719557,,,,,,,,,,,no default text/event
Chocobo,Chocobo_1,17719338,,,818,,,,,,,,default event
Chocobo,Chocobo_2,17719339,,,818,,,,,,,,default event
Chocobo,Chocobo_3,17719340,,,818,,,,,,,,default event
Chocobo,Chocobo,17719342,,,818,,,,,,,,default event
Chocobo,Chocobo,17719346,,,818,,,,,,,,default event
Chocobo,Chocobo,17719347,,,818,,,,,,,,default event
Chocobo,Chocobo,17719348,,,818,,,,,,,,default event
Chocobo,Chocobo,17719585,,,818,,,,,,,,default event
Chocobo,Chocobo_1,17719586,,,818,,,,,,,,default event
Chocobo,Chocobo,17719661,,,818,,,,,,,,default event
Chocobo,Chocobo,17719662,,,818,,,,,,,,default event
Chocobo,Chocobo,17719663,,,818,,,,,,,,default event
Claiborne,Claiborne,17719607,,,,,,,,,,,no default text/event
Claidie,Claidie,17719369,,,,,,,,,,,no default text/event
Claidie,Claidie,17719370,,,,,,,,,,,no default text/event
Clainomille,Clainomille,17719419,,,613,,,,,,,,default event
Cletae,Cletae,17719383,8209,CLETAE_DIALOG,,,,,,,,,script onTrigger
Coderiant,Coderiant,17719302,,,583,,,,,,,,default event
Collione,Collione,17719603,,,859,,,,,,,,default event
Cornelia,Cornelia,17719541,,,,,,,,,,,no default text/event
Corua,Corua,17719304,8254,CORUA_OPEN_DIALOG,,8260,CORUA_CLOSED_DIALOG,,,,,,regional shop
csnpc,csnpc,17719522,,,,,,,,,,,no default text/event
csnpc,csnpc,17719523,,,,,,,,,,,no default text/event
csnpc,csnpc,17719550,,,,,,,,,,,no default text/event
csnpc,csnpc,17719551,,,,,,,,,,,no default text/event
csnpc,csnpc,17719571,,,,,,,,,,,no default text/event
csnpc,csnpc,17719572,,,,,,,,,,,no default text/event
csnpc,csnpc,17719573,,,,,,,,,,,no default text/event
csnpc,csnpc,17719574,,,,,,,,,,,no default text/event
csnpc,csnpc,17719575,,,,,,,,,,,no default text/event
csnpc,csnpc,17719576,,,,,,,,,,,no default text/event
csnpc,csnpc,17719577,,,,,,,,,,,no default text/event
csnpc,csnpc,17719578,,,,,,,,,,,no default text/event
csnpc,csnpc,17719579,,,,,,,,,,,no default text/event
csnpc,csnpc,17719580,,,,,,,,,,,no default text/event
csnpc,csnpc,17719581,,,,,,,,,,,no default text/event
csnpc,csnpc,17719582,,,,,,,,,,,no default text/event
csnpc,csnpc,17719583,,,,,,,,,,,no default text/event
csnpc,csnpc,17719590,,,,,,,,,,,no default text/event
csnpc,csnpc,17719591,,,,,,,,,,,no default text/event
csnpc,csnpc,17719592,,,,,,,,,,,no default text/event
csnpc,csnpc,17719593,,,,,,,,,,,no default text/event
csnpc,csnpc,17719594,,,,,,,,,,,no default text/event
csnpc,csnpc,17719724,,,,,,,,,,,no default text/event
csnpc,csnpc,17719821,,,,,,,,,,,no default text/event
csnpc,csnpc,17719822,,,,,,,,,,,no default text/event
csnpc,csnpc,17719823,,,,,,,,,,,no default text/event
csnpc,csnpc,17719824,,,,,,,,,,,no default text/event
csnpc,csnpc,17719825,,,,,,,,,,,no default text/event
csnpc,csnpc,17719826,,,,,,,,,,,no default text/event
csnpc,csnpc,17719827,,,,,,,,,,,no default text/event
csnpc,csnpc,17719828,,,,,,,,,,,no default text/event
csnpc,csnpc,17719829,,,,,,,,,,,no default text/event
csnpc,csnpc,17719830,,,,,,,,,,,no default text/event
csnpc,csnpc,17719831,,,,,,,,,,,no default text/event
csnpc,csnpc,17719832,,,,,,,,,,,no default text/event
csnpc,csnpc,17719833,,,,,,,,,,,no default text/event
csnpc,csnpc,17719834,,,,,,,,,,,no default text/event
csnpc,csnpc,17719835,,,,,,,,,,,no default text/event
csnpc,csnpc,17719836,,,,,,,,,,,no default text/event
csnpc,csnpc,17719837,,,,,,,,,,,no default text/event
csnpc,csnpc,17719930,,,,,,,,,,,no default text/event
csnpc,csnpc,17719931,,,,,,,,,,,no default text/event
csnpc,csnpc,17719932,,,,,,,,,,,no default text/event
csnpc,csnpc,17719933,,,,,,,,,,,no default text/event
csnpc,csnpc,17719934,,,,,,,,,,,no default text/event
csnpc,csnpc,17719935,,,,,,,,,,,no default text/event
csnpc,csnpc,17719936,,,,,,,,,,,no default text/event
csnpc,csnpc,17719937,,,,,,,,,,,no default text/event
csnpc,csnpc,17719938,,,,,,,,,,,no default text/event
csnpc,csnpc,17719939,,,,,,,,,,,no default text/event
Curilla,Curilla,17719509,,,,,,,,,,,no default text/event
D,D,17719673,,,,,,,,,,,no default text/event
Daggao,Daggao,17719503,,,810,,,72; 73; 60,,,,,script onTrigger event
Dahjal,Dahjal,17719425,8173,DAHJAL_BASTOK_CIT,,8172,DAHJAL_NOT_BASTOK_CIT,,,,,,script onTrigger
Deraquien,Deraquien,17719330,,,811,,,18,,,,,script onTrigger event
Destin,Destin,17719363,,,,,,,,,,,no default text/event
Destin,Destin,17719521,,,,,,,,,,,no default text/event
Diabolos,Diabolos,17719545,,,,,,,,,,,no default text/event
Diabolos,Diabolos,17719546,,,,,,,,,,,no default text/event
Diabolos,Diabolos,17719547,,,,,,,,,,,no default text/event
Diary,Diary,17719430,,,639,,,640; 641,,,,,script onTrigger event
Dietmund,Dietmund,17719598,,,,,,,,,,,no default text/event
Disjoined One,Disjoined_One,17720017,,,,,,,,,,,no default text/event
Disjoined One,Disjoined_One,17720018,,,,,,,,,,,no default text/event
Disjoined One,Disjoined_One,17720019,,,,,,,,,,,no default text/event
Disjoined One,Disjoined_One,17720020,,,,,,,,,,,no default text/event
Disjoined One,Disjoined_One,17720021,,,,,,,,,,,no default text/event
Disjoined One,Disjoined_One,17720022,,,,,,,,,,,no default text/event
Disjoined One,Disjoined_One,17720023,,,,,,,,,,,no default text/event
Disjoined One,Disjoined_One,17720024,,,,,,,,,,,no default text/event
"Door:""Lion Springs""",_6ek,17719463,,,,,,,,,,,no default text/event
"Door:""Lion Springs""",_6en,17719464,,,,,,,,,,,no default text/event
Door:Chocobo Stables,_6ey,17719475,,,,,,,,,,,no default text/event
Door:Count's Manor,_6e0,17719443,,,,,,,,,,,no default text/event
Door:Count's Manor,_6e1,17719444,,,,,,,,,,,no default text/event
Door:Count's Manor,_6ez,17719476,,,,,,,,,,,no default text/event
Door:Helbort's Blades,_6eo,17719465,,,,,,,,,,,no default text/event
Door:Helbort's Blades,_6ep,17719466,,,,,,,,,,,no default text/event
Door:House,_6e2,17719445,,,,,,,,,,,no default text/event
Door:House,_6e3,17719446,,,,,,,,,,,no default text/event
Door:House,_6e4,17719447,,,,,,,,,,,no default text/event
Door:House,_6e5,17719448,,,,,,,,,,,no default text/event
Door:House,_6ec,17719455,,,,,,,,,,,no default text/event
Door:House,_6ed,17719456,,,,,,,,,,,no default text/event
Door:House,_6ee,17719457,,,,,,,,,,,no default text/event
Door:House,_6ef,17719458,,,,,,,,,,,no default text/event
Door:House,_6eg,17719459,,,,,,,,,,,no default text/event
Door:House,_6eh,17719460,,,,,,,,,,,no default text/event
Door:House,_6ei,17719461,,,,,,,,,,,no default text/event
Door:House,_6ej,17719462,,,,,,,,,,,no default text/event
Door:House,_6es,17719469,,,,,,,,,,,no default text/event
Door:House,_6et,17719470,,,,,,,,,,,no default text/event
Door:House,_6eu,17719471,,,,,,,,,,,no default text/event
Door:House,_6ev,17719472,,,,,,,,,,,no default text/event
Door:House,_6ew,17719473,,,,,,,,,,,no default text/event
Door:House,_6ex,17719474,,,,,,,,,,,no default text/event
Door:Raimbroy's Grocery,_6e8,17719451,,,,,,,,,,,no default text/event
Door:Raimbroy's Grocery,_6e9,17719452,,,,,,,,,,,no default text/event
Door:Rosel's Armour,_6eq,17719467,,,,,,,,,,,no default text/event
Door:Rosel's Armour,_6er,17719468,,,,,,,,,,,no default text/event
Door:Tanners' Guild,_6e7,17719449,,,,,,,,,,,no default text/event
Door:Tanners' Guild,_6e6,17719450,,,,,,,,,,,no default text/event
Door:Taumila's Sundries,_6ea,17719453,,,,,,,,,,,no default text/event
Door:Taumila's Sundries,_6eb,17719454,,,,,,,,,,,no default text/event
E,E,17719695,,,,,,,,,,,no default text/event
Eggsperiment A,Eggsperiment_A,17719713,,,,,,,,,,,no default text/event
Eggsperiment B,Eggsperiment_B,17719714,,,,,,,,,,,no default text/event
Eggsperiment B,Eggsperiment_B,17719715,,,,,,,,,,,no default text/event
Eggsperiment I,Eggsperiment_I,17719716,,,,,,,,,,,no default text/event
Eggsperiment R,Eggsperiment_R,17719712,,,,,,,,,,,no default text/event
Eggsperiment T,Eggsperiment_T,17719717,,,,,,,,,,,no default text/event
Elmemague,Elmemague,17719332,,,,,,,,,,,no default text/event
Emoussine,Emoussine,17719344,,,,,,,,,,,no default text/event
Endracion,Endracion,17719393,,,1011,,,1001; 1009,,,,,script onTrigger event
Enigmatic Footprints,Enigmatic_Footprints,17720029,16531,TEAR_IN_FABRIC_OF_SPACE,,,,,,,,,default
Ensemble Maven,Ensemble_Maven,17719844,,,,,,,,,,,no default text/event
Ephauge,Ephauge,17719299,,,581,,,,,,,,default event
Ephemeral Moogle,Ephemeral_Moogle_Leather,17720027,,,,,,,,,,,no default text/event
Epuliphont,Epuliphont,17719530,,,,,,,,,,,no default text/event
Esmallegue,Esmallegue,17719611,,,885,,,,,,,,default event
Estiliphire,Estiliphire,17719817,,,897,,,,,,,,default event
Estiliphire,Estiliphire,17719929,,,897,,,,,,,,default event
EVENTER,EVENTER,17719519,,,,,,,,,,,no default text/event
